epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
79,4927.89,1.20014,0.75253,0.00841,0.84393,0.6164,0.68821,0.43265,1.82405,1.68473,0.02213,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,4987.7,1.19538,0.75195,0.00824,0.8411,0.61882,0.6887,0.42993,1.86819,1.68144,0.02254,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,5047.53,1.1794,0.726,0.00821,0.81978,0.62063,0.68491,0.42939,1.88523,1.68625,0.02306,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,5107.3,1.18026,0.72187,0.00836,0.82553,0.62498,0.68947,0.42931,1.86375,1.66422,0.0228,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,5166.84,1.15895,0.72238,0.00821,0.80539,0.63148,0.6888,0.42867,1.85559,1.66185,0.02289,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,5226.33,1.17307,0.72814,0.0082,0.81192,0.63329,0.68508,0.42989,1.87052,1.65847,0.02296,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,5285.19,1.17501,0.72398,0.00806,0.80785,0.63812,0.68254,0.42513,1.86804,1.70125,0.02308,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,5344.66,1.14459,0.69339,0.00806,0.83551,0.61882,0.68994,0.43028,1.85513,1.66318,0.02268,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,5404.68,1.14532,0.69375,0.00799,0.83352,0.6351,0.69214,0.42883,1.86052,1.6548,0.02274,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,5463.95,1.1338,0.68732,0.00782,0.83118,0.63812,0.69106,0.42928,1.87293,1.70051,0.02283,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,5523.3,1.14196,0.6993,0.00811,0.82724,0.64174,0.69413,0.43171,1.85218,1.7081,0.02266,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,5583.26,1.11941,0.69162,0.00775,0.83633,0.63486,0.69329,0.43577,1.85279,1.70249,0.02257,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
